buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;name
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;0;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4772,10;4,32;100,00;585,00;23966720,00;23966720,00;0,00;0,26;0,00;5,00;1,00;1,00;0,00;0,00;149,50;0,00;16060,00;365,00;365,00;747520,00;0,00;1048,58;0,00;40960,00;2560,00;2560,00;5242880,00;0,00;3573,76;0,00;4096,00;4096,00;4096,00;41943040,00;0,00;0,00;0,00;0,00;1280,00;1280,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f0-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;15;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4751,81;4,26;85,75;576,00;23750656,00;23750656,00;18,19;0,26;0,00;5,00;1,00;1,00;0,00;0,00;146,89;0,00;16013,00;365,00;366,00;737280,00;0,00;1038,59;0,00;40560,00;2560,00;2569,00;5158912,00;0,00;3566,07;0,00;4095,00;4096,00;4096,00;41605120,00;0,00;0,00;0,00;0,00;1280,00;1270,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f15-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;30;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4747,92;4,20;82,02;572,00;23729152,00;23729152,00;18,46;0,26;0,00;5,00;1,00;1,00;0,00;0,00;146,02;0,00;15680,00;365,00;368,00;716800,00;0,00;1035,57;0,00;40527,00;2560,00;2570,00;5156864,00;0,00;3566,07;0,00;4095,00;4096,00;4096,00;41584640,00;0,00;0,00;0,00;0,00;1280,00;1267,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f30-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4744,50;4,19;94,43;571,00;23643136,00;23643136,00;7,07;0,26;0,00;5,00;1,00;1,00;0,00;0,00;146,33;0,00;15878,00;365,00;368,00;727040,00;0,00;1031,88;0,00;40476,00;2560,00;2574,00;5169152,00;0,00;3566,03;0,00;4093,00;4096,00;4096,00;41390080,00;0,00;0,00;0,00;0,00;1280,00;1263,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f50-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;70;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4728,56;4,17;92,81;556,00;23487488,00;23487488,00;9,55;0,26;0,00;5,00;1,00;1,00;0,00;0,00;145,77;0,00;16047,00;365,00;368,00;727040,00;0,00;1018,21;0,00;40225,00;2560,00;2582,00;5113856,00;0,00;3564,32;0,00;4093,00;4096,00;4096,00;41134080,00;0,00;0,00;0,00;0,00;1280,00;1255,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f70-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;85;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4687,93;4,14;80,20;532,00;22973440,00;22973440,00;23,70;0,26;0,00;5,00;1,00;1,00;0,00;0,00;139,01;0,00;15309,00;365,00;374,00;673792,00;0,00;994,61;0,00;39496,00;2560,00;2606,00;4968448,00;0,00;3554,05;0,00;4091,00;4096,00;4096,00;40304640,00;0,00;0,00;0,00;0,00;1280,00;1225,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f85-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;95;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4515,32;4,16;37,18;433,00;21135360,00;21135360,00;68,64;0,26;0,00;5,00;1,00;1,00;0,00;0,00;117,96;0,00;14690,00;365,00;389,00;583680,00;0,00;880,64;0,00;35806,00;2560,00;2737,00;4362240,00;0,00;3516,46;0,00;4087,00;4096,00;4096,00;37324800,00;0,00;0,00;0,00;0,00;1280,00;1079,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f95-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;4744,50;4,19;94,43;571,00;23643136,00;23643136,00;7,07;0,26;0,00;5,00;1,00;1,00;0,00;0,00;146,33;0,00;15878,00;365,00;368,00;727040,00;0,00;1031,88;0,00;40476,00;2560,00;2574,00;5169152,00;0,00;3566,03;0,00;4093,00;4096,00;4096,00;41390080,00;0,00;0,00;0,00;0,00;1280,00;1263,00;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f50-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;18722,21;15,54;94,95;566,00;94285824,00;94285824,00;6,28;1,02;0,00;5,00;1,00;1,00;0,00;0,00;575,08;0,00;15724,00;365,00;368,00;2908160,00;0,00;4117,30;0,00;40466,00;2560,00;2574,00;20430848,00;0,00;14028,81;0,00;4096,00;4096,00;4096,00;165232640,00;0,00;0,00;0,00;0,00;1280,00;1263,00;0,00;0,00;LFP-Drop-Stop-FullSync-m4096-f50-d4-s3
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;16384,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;3;Success;74658,21;61,82;96,10;566,00;376504320,00;376504320,00;4,93;4,10;0,00;5,00;1,00;1,00;0,00;0,00;2330,62;0,00;15945,00;365,00;368,00;11796480,00;0,00;16443,80;0,00;40455,00;2560,00;2574,00;81592320,00;0,00;55879,69;0,00;4096,00;4096,00;4096,00;659619840,00;0,00;0,00;0,00;0,00;1280,00;1263,00;0,00;0,00;LFP-Drop-Stop-FullSync-m16384-f50-d4-s3
