buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;backupsToAggregatorsRatio;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;name
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4539,01;4,17;88,02;524,00;22122496,00;22122496,00;1,15;0,26;0,00;5,00;1,00;1,00;0,00;0,00;135,37;0,00;14992,00;365,00;365,00;686080,00;0,00;967,73;0,00;37692,00;2560,00;2560,00;4739072,00;0,00;3435,65;0,00;4096,00;4096,00;4096,00;38819840,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f50-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;3,00;8,00;5,00;0,00;false;1;0,10;Success;589,46;3,58;93,55;73,00;2911232,00;2911232,00;1,25;0,26;0,00;5,00;1,00;1,00;0,00;0,00;18,07;0,00;381,00;45,00;45,00;131072,00;0,00;125,29;0,00;5531,00;320,00;324,00;622592,00;0,00;445,85;0,00;511,00;512,00;512,00;5068800,00;0,00;0,00;0,00;0,00;4,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d3-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4863,11;11,11;94,36;1162,00;26486784,00;26486784,00;3,29;6,20;0,00;121,00;1,00;1,00;0,00;0,00;253,39;0,00;5264,00;365,00;371,00;5177344,00;0,00;1031,47;0,00;51622,00;2560,00;2586,00;6273024,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41523200,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;5,00;8,00;5,00;0,00;false;1;0,10;Success;39757,81;45,00;0,00;13119,00;232323072,00;232323072,00;10,99;10,04;0,00;196,00;1,00;1,00;0,00;0,00;2915,82;0,00;62278,00;2925,00;2942,00;77498368,00;0,00;8277,76;0,00;441042,00;20480,00;20717,00;54798336,00;0,00;28554,20;0,00;32764,00;32768,00;32768,00;332349440,00;0,00;0,00;0,00;0,00;256,00;2,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d5-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;30;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4854,02;12,03;95,02;1073,00;26162176,00;26162176,00;2,51;7,48;0,00;146,00;1,00;1,00;0,00;0,00;235,98;0,00;4853,00;365,00;371,00;4585472,00;0,00;1037,65;0,00;50632,00;2560,00;2586,00;6092800,00;0,00;3572,91;0,00;4096,00;4096,00;4096,00;41646080,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f30-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;34;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4861,10;12,33;94,80;1105,00;26339328,00;26339328,00;2,75;7,68;0,00;150,00;1,00;1,00;0,00;0,00;243,61;0,00;5033,00;365,00;371,00;4864000,00;0,00;1036,90;0,00;51176,00;2560,00;2586,00;6168576,00;0,00;3572,91;0,00;4096,00;4096,00;4096,00;41646080,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f34-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;38;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4858,97;11,72;94,78;1125,00;26317824,00;26317824,00;2,81;7,01;0,00;137,00;1,00;1,00;0,00;0,00;243,66;0,00;5042,00;365,00;371,00;4831232,00;0,00;1036,24;0,00;51081,00;2560,00;2586,00;6168576,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41635840,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f38-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;42;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4852,67;10,88;94,80;1077,00;26152960,00;26152960,00;2,76;6,14;0,00;120,00;1,00;1,00;0,00;0,00;239,77;0,00;4958,00;365,00;371,00;4640768,00;0,00;1034,70;0,00;50842,00;2560,00;2586,00;6121472,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41543680,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f42-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;46;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4853,13;10,44;94,78;1082,00;26186752,00;26186752,00;2,92;5,63;0,00;110,00;1,00;1,00;0,00;0,00;241,77;0,00;5017,00;365,00;371,00;4698112,00;0,00;1033,68;0,00;50857,00;2560,00;2586,00;6131712,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41543680,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f46-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4863,11;11,11;94,36;1162,00;26486784,00;26486784,00;3,29;6,20;0,00;121,00;1,00;1,00;0,00;0,00;253,39;0,00;5264,00;365,00;371,00;5177344,00;0,00;1031,47;0,00;51622,00;2560,00;2586,00;6273024,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41523200,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;54;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4846,93;9,88;94,36;1071,00;26097664,00;26097664,00;3,18;4,86;0,00;95,00;1,00;1,00;0,00;0,00;241,20;0,00;5017,00;365,00;371,00;4534272,00;0,00;1028,81;0,00;51006,00;2560,00;2586,00;6168576,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41492480,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f54-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;58;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4846,42;9,83;94,17;1082,00;26158080,00;26158080,00;3,57;4,97;0,00;97,00;1,00;1,00;0,00;0,00;243,66;0,00;5097,00;365,00;371,00;4659200,00;0,00;1025,74;0,00;51106,00;2560,00;2586,00;6215680,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41441280,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f58-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;62;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4850,28;10,03;92,55;1122,00;26327040,00;26327040,00;4,07;4,81;0,00;94,00;1,00;1,00;0,00;0,00;251,90;0,00;5290,00;365,00;371,00;5015552,00;0,00;1022,36;0,00;51554,00;2560,00;2586,00;6299648,00;0,00;3571,20;0,00;4096,00;4096,00;4096,00;41338880,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f62-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;66;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4856,54;10,49;91,36;1177,00;26477568,00;26477568,00;4,89;4,92;0,00;96,00;1,00;1,00;0,00;0,00;261,73;0,00;5546,00;365,00;371,00;5423104,00;0,00;1018,69;0,00;52209,00;2560,00;2586,00;6387712,00;0,00;3571,20;0,00;4096,00;4096,00;4096,00;41144320,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f66-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;70;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4841,56;9,26;89,48;1125,00;26139648,00;26139648,00;4,91;3,43;0,00;67,00;1,00;1,00;0,00;0,00;252,16;0,00;5355,00;365,00;371,00;4900864,00;0,00;1015,62;0,00;51830,00;2560,00;2586,00;6336512,00;0,00;3570,35;0,00;4096,00;4096,00;4096,00;41041920,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f70-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;4863,11;11,11;94,36;1162,00;26486784,00;26486784,00;3,29;6,20;0,00;121,00;1,00;1,00;0,00;0,00;253,39;0,00;5264,00;365,00;371,00;5177344,00;0,00;1031,47;0,00;51622,00;2560,00;2586,00;6273024,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;41523200,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;19181,60;46,43;94,80;1167,00;106176512,00;106176512,00;3,60;20,68;0,00;101,00;1,00;1,00;0,00;0,00;1080,12;0,00;5610,00;365,00;371,00;22519808,00;0,00;4082,70;0,00;53111,00;2560,00;2586,00;26034176,00;0,00;13998,10;0,00;4096,00;4096,00;4096,00;163799040,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m4096-f50-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;16384,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;76228,72;183,14;94,80;1148,00;423411712,00;423411712,00;3,57;72,91;0,00;89,00;1,00;1,00;0,00;0,00;4322,92;0,00;5613,00;365,00;371,00;88244224,00;0,00;16294,52;0,00;53415,00;2560,00;2586,00;104693760,00;0,00;55538,37;0,00;4096,00;4096,00;4096,00;653885440,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m16384-f50-d4-s1
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;65536,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;1;0,10;Success;305676,81;805,22;94,36;1250,00;1720975360,00;1720975360,00;4,01;389,94;0,00;119,00;1,00;1,00;0,00;0,00;18245,22;0,00;5936,00;365,00;371,00;398327808,00;0,00;65123,75;0,00;54129,00;2560,00;2586,00;428081152,00;0,00;221917,89;0,00;4096,00;4096,00;4096,00;2615541760,00;0,00;0,00;0,00;0,00;32,00;;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m65536-f50-d4-s1
