buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupsToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;observedContributorsFailureRate;observedWorkersFailureRate;abortedReplacements;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;propagation_Querier;versions_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;propagation_Aggregator;versions_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;propagation_LeafAggregator;versions_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;propagation_Contributor;versions_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;propagation_Backup;versions_Backup;work_level_0;failures_level_0;messages_level_0;inbound_bandwidth_level_0;outbound_bandwidth_level_0;propagation_level_0;versions_level_0;work_level_1;failures_level_1;messages_level_1;inbound_bandwidth_level_1;outbound_bandwidth_level_1;propagation_level_1;versions_level_1;work_level_2;failures_level_2;messages_level_2;inbound_bandwidth_level_2;outbound_bandwidth_level_2;propagation_level_2;versions_level_2;work_level_3;failures_level_3;messages_level_3;inbound_bandwidth_level_3;outbound_bandwidth_level_3;propagation_level_3;versions_level_3;work_level_4;failures_level_4;messages_level_4;inbound_bandwidth_level_4;outbound_bandwidth_level_4;propagation_level_4;versions_level_4;name
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;0;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;4772,10;4,19;100,00;585,00;23966720,00;23966720,00;0,00;0,00;0,00;0,00;0,26;0,00;5,00;1,00;1,00;0,00;0,00;0,00;0,00;149,50;0,00;2920,00;365,00;365,00;373760,00;373760,00;0,00;73,00;1048,58;0,00;46080,00;2560,00;2560,00;2621440,00;2621440,00;0,00;512,00;3573,76;0,00;4096,00;4096,00;4096,00;20971520,00;20971520,00;0,00;0,00;0,00;0,00;0,00;1462,00;1462,00;0,00;0,00;0,00;0,00;3573,76;0,00;4096,00;20971520,00;20971520,00;0,00;0,00;1048,58;0,00;46080,00;2621440,00;2621440,00;0,00;512,00;131,07;0,00;2560,00;327680,00;327680,00;0,00;64,00;16,38;0,00;320,00;40960,00;40960,00;0,00;8,00;2,05;0,00;40,00;5120,00;5120,00;0,00;1,00;LFP-Replace-Stay-1-NonBlocking-m1024-f0-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;663,2924666666668;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;4821,34;6,60;99,46;696,00;24561664,00;24561664,00;1,04;1,22;0,78;0,00;2,56;0,00;50,00;1,00;1,00;0,00;0,00;0,00;0,00;173,41;0,00;3387,00;365,00;368,00;721920,00;721920,00;0,00;152,00;1049,45;0,00;48035,00;2560,00;2575,00;2816000,00;2816000,00;0,00;544,00;3595,91;0,00;4215,00;4096,00;4096,00;21023744,00;21023744,00;0,00;0,00;0,00;0,00;0,00;1462,00;1444,00;0,00;0,00;0,00;0,00;3595,91;0,00;4215,00;21023744,00;21023744,00;0,00;0,00;1049,45;0,00;48035,00;2816000,00;2816000,00;0,00;544,00;140,70;0,00;2748,00;487424,00;487424,00;0,00;94,00;24,37;0,00;476,00;166912,00;166912,00;0,00;37,00;8,35;0,00;163,00;67584,00;67584,00;0,00;21,00;LFP-Replace-Stay-1-NonBlocking-m1024-f663.2924666666668-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;4945,60;9,37;98,75;948,00;26015744,00;26015744,00;2,82;3,30;2,18;0,00;4,61;0,00;90,00;1,00;1,00;0,00;0,00;0,00;0,00;230,66;0,00;4505,00;365,00;374,00;1503232,00;1503232,00;0,00;335,00;1061,74;0,00;52598,00;2560,00;2611,00;3256320,00;3256320,00;0,00;613,00;3648,59;0,00;4499,00;4096,00;4096,00;21256192,00;21256192,00;0,00;0,00;0,00;0,00;0,00;1462,00;1402,00;0,00;0,00;0,00;0,00;3648,59;0,00;4499,00;21256192,00;21256192,00;0,00;0,00;1061,74;0,00;52598,00;3256320,00;3256320,00;0,00;613,00;161,74;0,00;3159,00;865280,00;865280,00;0,00;162,00;43,26;0,00;845,00;516096,00;516096,00;0,00;116,00;25,65;0,00;501,00;121856,00;121856,00;0,00;57,00;LFP-Replace-Stay-1-NonBlocking-m1024-f341.90333333333336-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;205,14200000000002;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;6211,35;36,50;95,80;3459,00;39956480,00;39956480,00;17,38;18,90;15,57;0,00;31,13;0,00;608,00;1,00;1,00;0,00;0,00;0,00;0,00;739,99;0,00;14464,00;365,00;426,00;8594432,00;8594432,00;0,00;2227,00;1215,69;0,00;94608,00;2560,00;3022,00;7203840,00;7203840,00;0,00;1232,00;4224,55;0,00;7409,00;4096,00;4096,00;24158208,00;24158208,00;0,00;0,00;0,00;0,00;0,00;1462,00;939,00;0,00;0,00;0,00;0,00;4224,55;0,00;7409,00;24158208,00;24158208,00;0,00;0,00;1215,69;0,00;94608,00;7203840,00;7203840,00;0,00;1232,00;357,98;0,00;7003,00;4322304,00;4322304,00;0,00;781,00;215,60;0,00;4211,00;3506176,00;3506176,00;0,00;843,00;166,40;0,00;3250,00;765952,00;765952,00;0,00;603,00;LFP-Replace-Stay-1-NonBlocking-m1024-f205.14200000000002-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;34,190333333333335;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;6894,22;14,64;0,00;5150,00;45464576,00;45464576,00;40,85;44,19;37,50;0,00;2,87;0,00;56,00;1,00;1,00;0,00;0,00;0,00;0,00;897,25;0,00;18687,00;365,00;498,00;8764416,00;8764416,00;54,00;3327,00;1279,73;0,00;136881,00;2560,00;3576,00;10685440,00;10685440,00;360,00;1826,00;4714,37;0,00;10350,00;4096,00;4096,00;26014720,00;26014720,00;0,00;0,00;0,00;0,00;0,00;1462,00;313,00;0,00;0,00;0,00;0,00;4714,37;0,00;10350,00;26014720,00;26014720,00;0,00;0,00;1279,73;0,00;136881,00;10685440,00;10685440,00;360,00;1826,00;519,67;0,00;11161,00;6879232,00;6879232,00;48,00;1615,00;327,51;0,00;6546,00;1827840,00;1827840,00;5,00;1656,00;50,07;0,00;980,00;57344,00;57344,00;1,00;56,00;LFP-Replace-Stay-1-NonBlocking-m1024-f34.190333333333335-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;256,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;1258,48;2,14;99,66;635,00;6055424,00;6055424,00;0,64;0,78;0,44;0,00;0,35;0,00;27,00;1,00;1,00;0,00;0,00;0,00;0,00;39,91;0,00;3118,00;365,00;365,00;129792,00;129792,00;0,00;107,00;262,05;0,00;46867,00;2560,00;2567,00;676096,00;676096,00;0,00;528,00;956,17;0,00;4152,00;4096,00;4096,00;5249536,00;5249536,00;0,00;0,00;0,00;0,00;0,00;1462,00;1455,00;0,00;0,00;0,00;0,00;956,17;0,00;4152,00;5249536,00;5249536,00;0,00;0,00;262,05;0,00;46867,00;676096,00;676096,00;0,00;528,00;33,80;0,00;2641,00;100096,00;100096,00;0,00;78,00;5,00;0,00;391,00;22016,00;22016,00;0,00;18,00;1,10;0,00;86,00;7680,00;7680,00;0,00;11,00;LFP-Replace-Stay-1-NonBlocking-m256-f341.90333333333336-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;4945,60;9,37;98,75;948,00;26015744,00;26015744,00;2,82;3,30;2,18;0,00;4,61;0,00;90,00;1,00;1,00;0,00;0,00;0,00;0,00;230,66;0,00;4505,00;365,00;374,00;1503232,00;1503232,00;0,00;335,00;1061,74;0,00;52598,00;2560,00;2611,00;3256320,00;3256320,00;0,00;613,00;3648,59;0,00;4499,00;4096,00;4096,00;21256192,00;21256192,00;0,00;0,00;0,00;0,00;0,00;1462,00;1402,00;0,00;0,00;0,00;0,00;3648,59;0,00;4499,00;21256192,00;21256192,00;0,00;0,00;1061,74;0,00;52598,00;3256320,00;3256320,00;0,00;613,00;161,74;0,00;3159,00;865280,00;865280,00;0,00;162,00;43,26;0,00;845,00;516096,00;516096,00;0,00;116,00;25,65;0,00;501,00;121856,00;121856,00;0,00;57,00;LFP-Replace-Stay-1-NonBlocking-m1024-f341.90333333333336-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;29065,88;146,48;0,00;6328,00;224407552,00;224407552,00;41,05;44,19;37,92;0,00;69,43;0,00;339,00;1,00;1,00;0,00;0,00;0,00;0,00;4971,90;0,00;25149,00;365,00;512,00;66052096,00;66052096,00;56,00;4335,00;5411,77;0,00;301017,00;2560,00;3590,00;49524736,00;49524736,00;326,00;1993,00;18612,78;0,00;10714,00;4096,00;4096,00;108830720,00;108830720,00;0,00;0,00;0,00;0,00;0,00;1462,00;285,00;0,00;0,00;0,00;0,00;18612,78;0,00;10714,00;108830720,00;108830720,00;0,00;0,00;5411,77;0,00;301017,00;49524736,00;49524736,00;326,00;1993,00;2459,82;0,00;12760,00;37187584,00;37187584,00;48,00;1679,00;1851,19;0,00;9162,00;27475968,00;27475968,00;7,00;2317,00;660,89;0,00;3227,00;1388544,00;1388544,00;1,00;339,00;LFP-Replace-Stay-1-NonBlocking-m4096-f341.90333333333336-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;16384,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;104075,29;146,58;0,00;3695,00;694026240,00;694026240,00;41,10;44,24;37,97;0,00;6,55;0,00;8,00;1,00;1,00;0,00;0,00;0,00;0,00;12940,21;0,00;16621,00;365,00;512,00;104611840,00;104611840,00;56,00;1947,00;19733,33;0,00;142718,00;2560,00;3590,00;178896896,00;178896896,00;328,00;1748,00;71395,19;0,00;10700,00;4096,00;4096,00;410517504,00;410517504,00;0,00;0,00;0,00;0,00;0,00;1462,00;285,00;0,00;0,00;0,00;0,00;71395,19;0,00;10700,00;410517504,00;410517504,00;0,00;0,00;19733,33;0,00;142718,00;178896896,00;178896896,00;328,00;1748,00;8764,72;0,00;11453,00;96468992,00;96468992,00;48,00;1452,00;3869,11;0,00;4777,00;8011776,00;8011776,00;7,00;488,00;306,38;0,00;391,00;131072,00;131072,00;1,00;7,00;LFP-Replace-Stay-1-NonBlocking-m16384-f341.90333333333336-d4-s0
LFP,Replace,Stay,1,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;4945,60;9,37;98,75;948,00;26015744,00;26015744,00;2,82;3,30;2,18;0,00;4,61;0,00;90,00;1,00;1,00;0,00;0,00;0,00;0,00;230,66;0,00;4505,00;365,00;374,00;1503232,00;1503232,00;0,00;335,00;1061,74;0,00;52598,00;2560,00;2611,00;3256320,00;3256320,00;0,00;613,00;3648,59;0,00;4499,00;4096,00;4096,00;21256192,00;21256192,00;0,00;0,00;0,00;0,00;0,00;1462,00;1402,00;0,00;0,00;0,00;0,00;3648,59;0,00;4499,00;21256192,00;21256192,00;0,00;0,00;1061,74;0,00;52598,00;3256320,00;3256320,00;0,00;613,00;161,74;0,00;3159,00;865280,00;865280,00;0,00;162,00;43,26;0,00;845,00;516096,00;516096,00;0,00;116,00;25,65;0,00;501,00;121856,00;121856,00;0,00;57,00;LFP-Replace-Stay-1-NonBlocking-m1024-f341.90333333333336-d4-s0
LFP,Drop,Stop,1,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;3,00;8,00;5,00;0,00;false;0;Success;593,89;3,63;95,28;72,00;2972672,00;2972672,00;1,70;1,95;1,36;2,00;0,26;0,00;5,00;1,00;1,00;0,00;0,00;0,00;0,00;18,33;0,00;1990,00;45,00;45,00;46080,00;46080,00;0,00;9,00;129,43;0,00;5076,00;320,00;322,00;325632,00;325632,00;3,00;63,00;445,87;0,00;512,00;512,00;512,00;2600960,00;2600960,00;0,00;0,00;0,00;0,00;0,00;182,00;180,00;0,00;0,00;0,00;0,00;445,87;0,00;512,00;2600960,00;2600960,00;0,00;0,00;129,43;0,00;5076,00;325632,00;325632,00;3,00;63,00;16,28;0,00;1770,00;40960,00;40960,00;0,00;8,00;2,05;0,00;220,00;5120,00;5120,00;0,00;1,00;0,26;0,00;5,00;0,00;0,00;0,00;0,00;LFP-Drop-Stop-1-FullSync-m1024-f341.90333333333336-d3-s0
