buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;name
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;75;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4604,78;4,13;87,49;535,00;22017024,00;22017024,00;2,53;0,26;0,00;5,00;1,00;1,00;0,00;0,00;138,70;0,00;15373,00;365,00;365,00;704512,00;0,00;953,45;0,00;37786,00;2560,00;2560,00;4909056,00;0,00;3512,38;0,00;4096,00;4096,00;4096,00;38420480,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f75-d4-s0
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;90;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4226,43;4,12;73,00;458,00;19441664,00;19441664,00;6,15;0,26;0,00;5,00;1,00;1,00;0,00;0,00;125,70;0,00;14415,00;365,00;365,00;643072,00;0,00;820,02;0,00;33231,00;2560,00;2560,00;4427776,00;0,00;3280,46;0,00;4094,00;4096,00;4096,00;33812480,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f90-d4-s0
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4712,53;4,22;93,22;556,00;23469056,00;23469056,00;1,25;0,26;0,00;5,00;1,00;1,00;0,00;0,00;144,54;0,00;15575,00;365,00;365,00;716800,00;0,00;1027,23;0,00;40497,00;2560,00;2560,00;5076992,00;0,00;3540,51;0,00;4096,00;4096,00;4096,00;41144320,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m1024-f50-d4-s0
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;18618,95;15,71;92,93;558,00;93868032,00;93868032,00;1,18;1,02;0,00;5,00;1,00;1,00;0,00;0,00;577,95;0,00;15730,00;365,00;365,00;2899968,00;0,00;4110,13;0,00;40509,00;2560,00;2560,00;20258816,00;0,00;13929,85;0,00;4096,00;4096,00;4096,00;164577280,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m4096-f50-d4-s0
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;16384,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;74210,68;61,00;92,93;555,00;374865920,00;374865920,00;1,17;4,10;0,00;5,00;1,00;1,00;0,00;0,00;2281,47;0,00;15693,00;365,00;365,00;11468800,00;0,00;16441,34;0,00;40410,00;2560,00;2560,00;79953920,00;0,00;55483,76;0,00;4096,00;4096,00;4096,00;658309120,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m16384-f50-d4-s0
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;65536,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;296590,71;242,87;92,93;555,00;1499136000,00;1499136000,00;1,17;16,38;0,00;5,00;1,00;1,00;0,00;0,00;9109,50;0,00;15664,00;365,00;365,00;45875200,00;0,00;65765,38;0,00;40390,00;2560,00;2560,00;319160320,00;0,00;221699,44;0,00;4096,00;4096,00;4096,00;2633236480,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m65536-f50-d4-s0
LFP,Drop,Stop,FullSync;0,10;10,00;0,03;6000,00;0,01;0,00;262144,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;1186127,22;970,32;92,93;555,00;5996544000,00;5996544000,00;1,17;65,54;0,00;5,00;1,00;1,00;0,00;0,00;36438,02;0,00;15664,00;365,00;365,00;183500800,00;0,00;263061,50;0,00;40390,00;2560,00;2560,00;1276641280,00;0,00;886562,17;0,00;4096,00;4096,00;4096,00;10532945920,00;0,00;0,00;0,00;0,00;;;0,00;0,00;LFP-Drop-Stop-FullSync-m262144-f50-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;3,00;8,00;5,00;0,00;false;0;Success;595,00;4,33;94,34;96,00;3081216,00;3081216,00;1,92;1,02;0,00;20,00;1,00;1,00;0,00;0,00;21,56;0,00;445,00;45,00;45,00;268288,00;0,00;128,26;0,00;5893,00;320,00;326,00;692224,00;0,00;444,16;0,00;512,00;512,00;512,00;5201920,00;0,00;0,00;0,00;0,00;20,00;14,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d3-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4854,24;10,18;96,00;1117,00;26191872,00;26191872,00;3,08;5,53;0,00;108,00;1,00;1,00;0,00;0,00;248,12;0,00;5060,00;365,00;375,00;4681728,00;0,00;1032,81;0,00;51757,00;2560,00;2614,00;6393856,00;0,00;3567,79;0,00;4096,00;4096,00;4096,00;41308160,00;0,00;0,00;0,00;0,00;160,00;96,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;5,00;8,00;5,00;0,00;false;0;Success;41360,76;93,28;0,00;20997,00;267867136,00;267867136,00;23,25;50,89;0,00;994,00;1,00;1,00;0,00;0,00;4466,25;0,00;97664,00;2925,00;3079,00;136988672,00;0,00;8291,14;0,00;500679,00;20480,00;21566,00;66498560,00;0,00;28552,47;0,00;32763,00;32768,00;32768,00;332247040,00;0,00;0,00;0,00;0,00;1280,00;40,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d5-s0
