strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
STRAW;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;STRAW-f0,00005-s5-d6-c0-463;Deadline;2351400,0;150000,0;0,0;336,0;11885,0;0,17;0,0;0,0;0,0;1,0;1,0;0,0;0,0;2,0;1661,0;425,0;425,0;396,0;1532700,0;3,0;24747,0;1280,0;1280,0;1265,0;818700,0;1,0;1024,0;1024,0;1024,0;10224,0;0,0;1,0;0,0;1280,0;1280,0;0,0
STRAW;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;6,0;0,0;False;STRAW-f0,00005-s6-d6-c0-464;Deadline;2761200,0;150000,0;0,0;341,0;14302,0;0,2;0,0;0,0;3,0;1,0;1,0;0,0;0,0;1,0;2023,0;510,0;510,0;497,0;1839600,0;4,0;41538,0;1536,0;1536,0;1529,0;921600,0;1,0;1024,0;1024,0;1024,0;12276,0;0,0;3,0;0,0;1536,0;1536,0;0,0
STRAW;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;STRAW-f0,00005-s5-d5-c0-465;Deadline;2353200,0;150000,0;0,0;336,0;11906,0;0,17;0,0;0,0;0,0;1,0;1,0;0,0;0,0;1,0;1676,0;425,0;425,0;402,0;1534500,0;1,0;24788,0;1280,0;1280,0;1274,0;818700,0;2,0;1024,0;1024,0;1024,0;10230,0;0,0;3,0;0,0;1280,0;1280,0;0,0
STRAW;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;4,0;4,0;5,0;0,0;False;STRAW-f0,00005-s5-d4-c0-466;Deadline;588500,0;150000,0;0,0;85,0;2980,0;0,1;0,0;0,0;4,0;1,0;1,0;0,0;0,0;0,0;417,0;105,0;105,0;102,0;383700,0;1,0;6175,0;320,0;320,0;319,0;204800,0;0,0;256,0;256,0;256,0;2559,0;0,0;0,0;0,0;320,0;320,0;0,0
STRAW;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;3,0;4,0;5,0;0,0;False;STRAW-f0,00005-s5-d3-c0-467;Success;147200,0;2600,0;100,0;21,0;745,0;0,0;0,0;0,0;5,0;1,0;1,0;0,0;0,0;0,0;100,0;25,0;25,0;25,0;96000,0;0,0;1552,0;80,0;80,0;80,0;51200,0;0,0;64,0;64,0;64,0;640,0;0,0;0,0;0,0;80,0;80,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;5,0;4,0;5,0;0,0;False;OPTI-f0-s5-d6-c0-468;Success;2355200,0;2800,0;100,0;341,0;11945,0;0,0;0,0;0,0;10,0;1,0;1,0;0,0;0,0;0,0;3825,0;425,0;425,0;425,0;1536000,0;0,0;32768,0;1280,0;1280,0;1280,0;819200,0;0,0;6144,0;1024,0;1024,0;10240,0;0,0;0,0;0,0;1280,0;1280,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00007-s5-d6-c0-469;Success;2390700,0;11700,0;99,22;385,0;12130,0;0,8;0,0;0,0;49,0;1,0;1,0;0,0;10200,0;4,0;10394,0;425,0;428,0;558,0;1548000,0;6,0;52107,0;1280,0;1284,0;1322,0;823500,0;11,0;21343,0;1024,0;1024,0;10250,0;9000,0;11,0;73,0;1280,0;1273,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00014;5,0;4,0;5,0;0,0;False;OPTI-f0,00014-s5-d6-c0-470;Success;2610800,0;28900,0;95,51;649,0;13206,0;3,94;0,0;0,0;244,0;1,0;1,0;0,0;65400,0;19,0;24202,0;425,0;439,0;1303,0;1632500,0;46,0;85895,0;1280,0;1318,0;1529,0;863100,0;48,0;45393,0;1024,0;1024,0;10374,0;49800,0;45,0;446,0;1280,0;1228,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00024;5,0;4,0;5,0;0,0;False;OPTI-f0,00024-s5-d6-c0-471;Success;2534300,0;13900,0;97,56;494,0;12581,0;3,27;0,0;0,0;119,0;1,0;1,0;0,0;40300,0;12,0;12995,0;425,0;432,0;855,0;1602800,0;43,0;53942,0;1280,0;1310,0;1405,0;854000,0;30,0;21015,0;1024,0;1024,0;10321,0;37200,0;46,0;330,0;1280,0;1243,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00035;5,0;4,0;5,0;0,0;False;OPTI-f0,00035-s5-d6-c0-472;ContribDead;4203500,0;70000,0;0,0;2145,0;18202,0;21,72;0,0;0,0;1014,0;1,0;1,0;0,0;480900,0;109,0;59159,0;425,0;528,0;4416,0;2294800,0;317,0;162598,0;1280,0;1576,0;2569,0;1127600,0;226,0;94516,0;1024,0;1024,0;11217,0;300200,0;219,0;2583,0;1280,0;881,0;0,0
