;strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
76637;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-650;Deadline;18395300,0;150100,0;0,0;2624,0;69638,0;7,15;0,0;0,0;250,0;1,0;1,0;0,0;40200,0;124,0;364903,0;1705,0;1705,0;6786,0;13733500,0;360,0;1872972,0;5120,0;5120,0;5106,0;4621600,0;431,0;1341532,0;5778,0;5778,0;57746,0;0,0;352,0;0,0;5120,0;5120,0;0,0
76899;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;6,0;0,0;True;EAGER-f0,00005-s6-d6-c0-651;Success;15733100,0;14200,0;0,0;1532,0;78488,0;0,68;100,0;0,0;53,0;1,0;1,0;0,0;4700,0;17,0;59230,0;2046,0;2046,0;2682,0;10498900,0;41,0;396933,0;6144,0;6144,0;6111,0;5229400,0;42,0;145637,0;5811,0;5811,0;69695,0;0,0;38,0;0,0;6144,0;6144,0;0,0
77162;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;3,0;0,0;True;EAGER-f0,00005-s3-d6-c0-652;Success;8808000,0;32600,0;86,07;1569,0;39350,0;1,53;0,0;0,0;36,0;1,0;1,0;0,0;6400,0;17,0;59539,0;1023,0;1023,0;1571,0;5327000,0;50,0;258993,0;3072,0;3072,0;3056,0;3474600,0;87,0;185570,0;5794,0;5794,0;34723,0;0,0;44,0;0,0;3072,0;3072,0;0,0
77426;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;4,0;0,0;True;EAGER-f0,00005-s4-d6-c0-653;Success;11100300,0;11400,0;73,15;1471,0;52310,0;0,56;0,0;0,0;37,0;1,0;1,0;0,0;2800,0;7,0;32798,0;1364,0;1364,0;1590,0;7013600,0;25,0;171910,0;4096,0;4096,0;4079,0;4083900,0;37,0;80444,0;5837,0;5837,0;46641,0;0,0;17,0;0,0;4096,0;4096,0;0,0
77691;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-654;Deadline;18298400,0;150100,0;0,0;2528,0;69784,0;7,39;0,0;0,0;250,0;1,0;1,0;0,0;39500,0;108,0;368577,0;1705,0;1705,0;6764,0;13621700,0;367,0;1870090,0;5120,0;5120,0;5096,0;4637200,0;436,0;1346400,0;5798,0;5798,0;57924,0;0,0;400,0;0,0;5120,0;5120,0;0,0
77957;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;6,0;0,0;True;EAGER-f0,00005-s6-d6-c0-655;Success;18489000,0;101800,0;39,6;3216,0;84791,0;5,04;0,0;0,0;806,0;1,0;1,0;0,0;36100,0;93,0;316054,0;2046,0;2046,0;9208,0;13241400,0;326,0;1641205,0;6144,0;6144,0;6124,0;5211500,0;304,0;1111787,0;5791,0;5791,0;69459,0;0,0;292,0;0,0;6144,0;6144,0;0,0
78224;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;3,0;0,0;True;EAGER-f0,00005-s3-d6-c0-656;Deadline;11613700,0;150100,0;0,0;2149,0;41073,0;7,05;0,0;0,0;150,0;1,0;1,0;0,0;24300,0;64,0;232690,0;1023,0;1023,0;3133,0;8100700,0;209,0;1046617,0;3072,0;3072,0;3066,0;3488700,0;409,0;818341,0;5815,0;5815,0;34874,0;0,0;233,0;0,0;3072,0;3072,0;0,0
78492;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;4,0;0,0;True;EAGER-f0,00005-s4-d6-c0-657;Success;11149900,0;17600,0;65,8;1520,0;52713,0;0,93;0,0;0,0;28,0;1,0;1,0;0,0;4900,0;21,0;46222,0;1364,0;1364,0;1885,0;7054000,0;38,0;230469,0;4096,0;4096,0;4083,0;4091000,0;43,0;132393,0;5845,0;5845,0;46745,0;0,0;41,0;0,0;4096,0;4096,0;0,0
78761;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-658;Success;13755100,0;35200,0;0,0;1845,0;66782,0;1,69;100,0;0,0;144,0;1,0;1,0;0,0;10900,0;24,0;106661,0;1705,0;1705,0;3256,0;9067200,0;100,0;524225,0;5120,0;5120,0;5103,0;4676900,0;96,0;322554,0;5847,0;5847,0;58423,0;0,0;80,0;0,0;5120,0;5120,0;0,0
79031;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;6,0;0,0;True;EAGER-f0,00005-s6-d6-c0-659;Deadline;22002100,0;150100,0;0,0;2946,0;84326,0;6,94;0,0;0,0;747,0;1,0;1,0;0,0;44900,0;133,0;426156,0;2046,0;2046,0;9200,0;16779500,0;420,0;2367808,0;6144,0;6144,0;6121,0;5177700,0;430,0;1601700,0;5756,0;5756,0;69005,0;0,0;412,0;0,0;6144,0;6144,0;0,0
79302;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;7,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d7-c0-660;Success;69256100,0;134400,0;4,27;10821,0;278028,0;6,64;0,0;0,0;254,0;1,0;1,0;0,0;152000,0;430,0;1341187,0;6825,0;6825,0;27035,0;50642100,0;1363,0;6683849,0;20480,0;20480,0;20379,0;18462000,0;1555,0;4791492,0;23085,0;23085,0;230614,0;0,0;1356,0;0,0;20480,0;20480,0;0,0
79574;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d6-c0-661;Success;16645300,0;116500,0;29,5;2367,0;69025,0;5,65;0,0;0,0;200,0;1,0;1,0;0,0;32800,0;106,0;298517,0;1705,0;1705,0;5750,0;11955000,0;272,0;1485400,0;5120,0;5120,0;5085,0;4657500,0;342,0;1058258,0;5823,0;5823,0;58190,0;0,0;284,0;0,0;5120,0;5120,0;0,0
79847;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;5,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d5-c0-662;Success;3303900,0;11200,0;0,0;348,0;16044,0;0,48;100,0;0,0;23,0;1,0;1,0;0,0;400,0;2,0;10153,0;425,0;425,0;427,0;2155700,0;5,0;61064,0;1280,0;1280,0;1273,0;1147700,0;6,0;23272,0;1435,0;1435,0;14344,0;0,0;8,0;0,0;1280,0;1280,0;0,0
80121;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;4,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d4-c0-663;Success;832600,0;3900,0;100,0;85,0;4045,0;0,18;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;1469,0;105,0;105,0;105,0;543000,0;1,0;11018,0;320,0;320,0;320,0;289600,0;1,0;2166,0;362,0;362,0;3620,0;0,0;0,0;0,0;320,0;320,0;0,0
80396;EAGER;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;7,0;4,0;5,0;0,0;True;EAGER-f0,00005-s5-d7-c0-664;Success;60528700,0;92200,0;0,0;8983,0;272807,0;4,43;100,0;0,0;235,0;1,0;1,0;0,0;106800,0;318,0;979327,0;6825,0;6825,0;20973,0;41894000,0;907,0;4714474,0;20480,0;20480,0;20373,0;18527800,0;971,0;3354517,0;23167,0;23167,0;231461,0;0,0;949,0;0,0;20480,0;20480,0;0,0
