failure_probability;LowCost;HighCmpl;S&P;HyBlock
0.6;0.0;95.14;84.84;90.84
0.6;0.0;0.0;90.55;95.12
0.6;0.0;0.0;84.4;92.5
0.6;0.0;0.0;0.0;93.04
0.6;0.0;0.0;78.31;93.02
0.6;0.0;0.0;91.63;90.14
0.6;0.0;0.0;0.0;91.21
0.6;0.0;0.0;74.54;91.85
0.6;0.0;0.0;81.67;92.16
0.7;0.0;0.0;87.92;90.48
0.7;0.0;0.0;82.24;88.6
0.7;0.0;0.0;91.28;91.87
0.7;0.0;0.0;78.53;90.94
0.7;0.0;0.0;0.0;88.06
0.7;0.0;0.0;90.89;77.44
0.7;0.0;0.0;90.79;89.87
0.7;0.0;0.0;71.96;91.38
0.7;0.0;0.0;82.27;89.65
0.7;0.0;0.0;0.0;91.21
0.7;0.0;0.0;75.58;90.67
0.7;0.0;0.0;89.22;90.84
0.7;0.0;0.0;84.35;90.45
0.7;0.0;0.0;79.32;2.66
0.7;0.0;95.09;84.03;90.53
0.7;0.0;0.0;80.43;94.24
0.7;0.0;0.0;85.14;91.04
0.7;0.0;0.0;90.69;91.19
0.7;0.0;0.0;55.49;91.33
0.7;0.0;0.0;87.33;88.45
0.7;0.0;0.0;0.0;89.82
0.7;0.0;0.0;74.83;90.38
0.7;0.0;0.0;80.94;91.41
0.8;0.0;0.0;84.32;89.53
0.8;0.0;0.0;81.43;87.62
0.8;0.0;0.0;90.37;90.8
0.8;0.0;0.0;62.01;89.97
0.8;0.0;0.0;0.0;90.23
0.8;0.0;0.0;86.63;89.43
0.8;0.0;0.0;90.0;88.94
0.8;0.0;0.0;70.04;90.41
0.8;0.0;0.0;81.0;88.35
0.8;0.0;0.0;0.0;89.6
0.8;0.0;0.0;87.86;89.28
0.8;0.0;0.0;74.54;89.77
0.8;0.0;0.0;73.5;88.01
0.8;0.0;0.0;75.05;88.67
0.8;0.0;0.0;0.0;88.13
0.8;0.0;0.0;85.75;86.74
0.8;0.0;0.0;51.41;89.28
0.8;0.0;0.0;90.3;89.99
0.8;0.0;0.0;84.09;89.5
0.8;0.0;0.0;78.24;92.26
0.8;0.0;0.0;83.59;89.65
0.8;0.0;0.0;75.92;90.04
0.8;0.0;0.0;87.21;89.33
0.9;0.0;0.0;79.08;86.82
0.9;0.0;0.0;66.9;88.87
0.9;0.0;0.0;85.16;87.01
0.9;0.0;0.0;87.13;0.0
0.9;0.0;0.0;0.0;88.67
0.9;0.0;0.0;62.92;89.26
0.9;0.0;0.0;89.26;89.6
0.9;0.0;0.0;82.41;86.25
0.9;0.0;0.0;76.93;87.99
0.9;0.0;0.0;0.0;89.04
0.9;0.0;0.0;81.83;88.72
0.9;0.0;0.0;74.79;89.4
0.9;0.0;0.0;81.69;88.13
0.9;0.0;0.0;73.81;88.31
0.9;0.0;0.0;75.01;91.26
0.9;0.0;0.0;80.76;87.89
0.9;0.0;0.0;86.67;88.43
0.9;0.0;0.0;80.68;84.55
0.9;0.0;0.0;83.38;85.72
0.9;0.0;0.0;0.0;86.38
0.9;0.0;0.0;73.53;87.43
0.9;0.0;0.0;71.54;87.04
0.9;0.0;0.0;50.46;88.28
1.0;0.0;0.0;81.43;87.28
1.0;0.0;0.0;83.15;84.42
1.0;0.0;0.0;0.0;85.35
1.0;0.0;0.0;69.69;84.99
1.0;0.0;0.0;69.18;85.38
1.0;0.0;0.0;81.0;87.21
1.0;0.0;0.0;72.22;85.79
1.0;0.0;0.0;0.0;87.35
1.0;0.0;0.0;84.46;0.0
1.0;0.0;0.0;57.36;87.67
1.0;0.0;0.0;81.88;85.16
1.0;0.0;0.0;85.89;87.4
1.0;0.0;0.0;48.56;87.33
1.0;0.0;0.0;60.67;88.01
1.0;0.0;0.0;0.0;88.4
1.0;0.0;0.0;75.81;86.57
1.0;0.0;0.0;76.94;85.79
1.0;0.0;0.0;84.63;87.35
1.0;0.0;0.0;81.98;85.4
1.0;0.0;0.0;62.15;85.62
1.0;0.0;0.0;72.31;86.6
1.0;0.0;0.0;81.68;84.35
1.0;0.0;0.0;74.18;85.72
1.0;0.0;0.0;78.17;84.28
1.0;0.0;0.0;85.08;84.11
1.0;0.0;0.0;71.29;87.35
1.0;0.0;0.0;76.43;87.43
1.0;0.0;0.0;61.95;86.06
1.0;0.0;0.0;0.0;85.08
1.0;0.0;0.0;75.93;86.6
1.0;0.0;0.0;0.0;84.38
1.0;0.0;0.0;77.34;88.65
1.0;0.0;0.0;72.9;86.91
1.0;0.0;0.0;79.1;83.79
1.0;0.0;0.0;88.73;86.74
1.0;0.0;0.0;64.16;85.01
1.0;0.0;0.0;81.97;86.65
1.0;0.0;0.0;77.93;82.2
